,0
0,989.1967782877829
1,799.8228627009345
2,814.8127161534719
3,827.8922759698754
4,824.2027860967183
5,799.0302005174286
6,819.5436440899443
7,774.5582943037207
8,780.6546962287458
9,742.0512441708834
10,731.7202600399398
11,741.0294272401376
12,754.4319059762332
13,774.2753320427238
14,745.3826070162875
15,750.8479879465626
16,720.4166729016763
17,729.7196727305877
18,733.4533840059405
19,726.7105265484458
20,721.3376002257176
21,718.3658441521562
22,722.6285548496012
23,713.5313594767147
24,729.913574472353
25,748.5480948919924
26,728.3683155809395
27,717.3730904598698
28,730.0442365619414
29,752.1215311727749
