,0
0,877.878387062732
1,815.0283755545972
2,853.533526579919
3,729.4203094971466
4,712.2990766866917
5,749.4542577118126
6,797.9413929826563
7,752.9991259518167
8,726.8047436681927
9,779.3403303488141
10,697.8620195748723
11,761.5500210239506
12,751.6540080626136
13,719.6794976795871
14,728.4604857977706
15,757.7683915234409
16,685.0000150138887
17,761.6270300390853
18,700.6903516955409
19,772.5054692824825
20,770.2086684992668
21,783.7088670216016
22,709.6105055561975
23,702.0897596383913
24,781.7336837778971
25,746.8268794076871
26,793.3626829542083
27,734.6270699752386
28,687.5248714690109
29,753.7564568048324
